0,6.1339,6.9254,5.3925,5.3349
0,4.1292,4.4983,4.7454,5.0823
1,6.4039,6.6448,5.419,5.2441
1,4.1671,4.4922,5.2445,5.0891
2,5.9558,6.4312,5.3873,5.3413
2,4.2208,4.5016,5.5815,4.9861
3,5.6902,6.0267,5.1201,4.6552
3,4.3007,4.5678,5.3784,4.7439
4,5.6591,5.7152,4.7496,4.7697
4,3.9461,4.6631,5.0267,4.6773
5,4.9257,5.061,4.5432,4.4205
5,3.6494,4.4249,4.5301,4.3219
6,4.5955,4.5963,4.3353,4.4317
6,3.5144,4.3589,4.2669,4.1332
7,4.146,4.1303,4.0829,3.9289
7,3.5778,3.8449,4.0876,3.884
8,3.9409,3.9864,4.0283,3.9425
8,3.7,3.7667,3.9916,3.8626
9,4.2381,3.8921,4.0378,3.8871
9,3.6209,3.6005,3.8584,3.8045
